MERCURY	0.33	4879.0	4222.6	57.9	88.0	47.4	167.0	0.0	0	No	Yes	29/03/1974	Mariner 10
VENUS	4.87	12104.0	2802.0	108.2	224.7	35.0	464.0	92.0	0	No	No	27/08/1962	Mariner 2
EARTH	5.97	12756.0	24.0	149.6	365.2	29.8	15.0	1.0	1	No	Yes	NA	NA
MOON	0.073	3475.0	708.7	NA	27.3	1.0	-20.0	0.0	0	No	No	12/09/1959	Luna 2
MARS	0.642	6792.0	24.7	227.9	687.0	24.1	-65.0	0.01	2	No	No	15/07/1965	Mariner 4
JUPITER	1898.0	142984.0	9.9	778.6	4331.0	13.1	-110.0	NA	67	Yes	Yes	04/12/1973	Pioneer 10
SATURN	568.0	120536.0	10.7	1433.5	10747.0	9.7	-140.0	NA	62	Yes	Yes	01/09/1979	Pioneer 11
URANUS	86.8	51118.0	17.2	2872.5	30589.0	6.8	-195.0	NA	27	Yes	Yes	24/01/1986	Voyager 2
NEPTUNE	102.0	49528.0	16.1	4495.1	59800.0	5.4	-200.0	NA	14	Yes	Yes	25/08/1989	Voyager 2
PLUTO	0.0146	2370.0	153.3	5906.4	90560.0	4.7	-225.0	1e-05	5	No	NA	14/07/2015	New Horizons
